Date,EURO STOXX 50,FTSE 100,MSCI China,Nasdaq-100,NYSE Arca Gold BUGS,S&P 500
12/2015,13027.79310660138,18457.093273144965,17840.307180691496,39962.93041463609,3970.5882352941176,26301.87972822675
01/2016,12196.192965699818,17340.535133412894,15571.249807154974,37242.94958855956,4315.2676801057505,24996.69643545385
02/2016,11769.65884762079,16950.05720686358,15177.67454617138,36622.67316449629,5986.1202908129535,24962.972547378617
03/2016,12562.826938553206,17907.959777519267,16984.07528669626,39094.751138451706,6384.996695307336,26656.393498584966
04/2016,12747.03621391441,18454.519632916836,16950.477398563515,37867.9396021411,8363.516192994051,26759.76753917476
05/2016,12774.72633438414,18543.925883070187,16825.1709892521,39526.08452504593,7214.1440846001315,27240.298532116147
06/2016,11927.992218561663,17816.526264748187,17032.243687539638,38610.44978828793,8839.061467283544,27310.91222429
07/2016,12478.856817633241,18064.776506789258,17628.94903748907,41357.19421586642,9832.452081956375,28317.811168250537
08/2016,12643.45311076232,18309.56551009273,18928.29593568404,41776.304226252294,7947.455386649041,28357.591591327036
09/2016,12600.304757421043,18405.908445701283,19410.49419750758,42705.041144044095,8302.379378717778,28362.891059453148
10/2016,12588.591954751917,17438.056401116177,19034.746387369934,42065.510905168965,7625.247851949768,27845.539086674515
11/2016,12232.107804324687,17536.78605501241,18807.10355349092,42217.703922665176,6399.867812293456,28876.801819162865
12/2016,13082.371078377615,18236.280701244035,18037.60906457308,42695.37429096429,6555.84930601454,29447.561418770845
01/2017,13118.295784236481,18395.8128174155,19261.87496785916,44929.85539666054,7460.013218770654,30006.07029985354
02/2017,13297.617057897543,18860.441492347447,19943.432127123433,46866.50155788128,7053.866490416391,31197.555912829936
03/2017,14173.095475681883,19183.910514273142,20369.405351663605,47817.52816170009,7122.604097818902,31233.895122837534
04/2017,14774.244513927208,19598.77289662189,20912.628349075196,49129.34409203484,6933.245208195637,31554.685005120507
05/2017,15316.787678999019,20410.73581720347,22018.273137117092,50998.08260765359,6955.056179775281,31998.739139531543
